policy,stage,model,usage_count,usage_share
A1 K=5 B=0.00126038,single,NVIDIA-Nemotron-Nano-9B-v2,53.0,0.22083333333333333
A1 K=5 B=0.00126038,single,Intern-S1-mini,37.0,0.15416666666666667
A1 K=5 B=0.00126038,single,Llama-3.1-8B-Instruct,23.0,0.09583333333333334
A1 K=8 B=0.000420126,single,MiniCPM4.1-8B,87.0,0.3625
A1 K=8 B=0.000420126,single,GLM-Z1-9B-0414,79.0,0.32916666666666666
A1 K=8 B=0.000420126,single,Qwen2.5-Coder-7B-Instruct,35.0,0.14583333333333334
A1 K=8 B=0.000420126,single,qwen3-235b-a22b-2507,12.0,0.05
A1 K=8 B=0.000420126,single,Intern-S1-mini,9.0,0.0375
A1 K=8 B=0.000420126,single,NVIDIA-Nemotron-Nano-9B-v2,8.0,0.03333333333333333
A1 K=8 B=0.000420126,single,Llama-3.1-8B-Instruct,7.0,0.029166666666666667
A1 K=8 B=0.000420126,single,deepseek-v3-0324,3.0,0.0125
A1 K=8 B=0.000840251,single,MiniCPM4.1-8B,96.0,0.4
A1 K=8 B=0.000840251,single,GLM-Z1-9B-0414,91.0,0.37916666666666665
A1 K=8 B=0.000840251,single,qwen3-235b-a22b-2507,16.0,0.06666666666666667
A1 K=8 B=0.000840251,single,Intern-S1-mini,9.0,0.0375
A1 K=8 B=0.000840251,single,Llama-3.1-8B-Instruct,9.0,0.0375
A1 K=8 B=0.000840251,single,deepseek-v3-0324,8.0,0.03333333333333333
A1 K=8 B=0.000840251,single,qwen3-235b-a22b-thinking-2507,6.0,0.025
A1 K=8 B=0.000840251,single,kimi-k2-0905,5.0,0.020833333333333332
A1 K=8 B=0.00126038,single,GLM-Z1-9B-0414,84.0,0.35
A1 K=8 B=0.00126038,single,MiniCPM4.1-8B,76.0,0.31666666666666665
A1 K=8 B=0.00126038,single,Llama-3.1-8B-Instruct,23.0,0.09583333333333334
A1 K=8 B=0.00126038,single,qwen3-235b-a22b-2507,20.0,0.08333333333333333
A1 K=8 B=0.00126038,single,qwen3-235b-a22b-thinking-2507,13.0,0.05416666666666667
A1 K=8 B=0.00126038,single,Intern-S1-mini,11.0,0.04583333333333333
A1 K=8 B=0.00126038,single,kimi-k2-0905,7.0,0.029166666666666667
A1 K=8 B=0.00126038,single,deepseek-v3-0324,6.0,0.025
A2 K=2 B=0.000420126 Emax=1,stage1,GLM-Z1-9B-0414,240.0,1.0
A2 K=2 B=0.000420126 Emax=1,expected_stage2,MiniCPM4.1-8B,104.0,0.43333333333333335
A2 K=2 B=0.000420126 Emax=0.75,stage1,GLM-Z1-9B-0414,240.0,1.0
A2 K=2 B=0.000420126 Emax=0.75,expected_stage2,MiniCPM4.1-8B,104.0,0.43333333333333335
A2 K=2 B=0.000420126 Emax=0.5,stage1,GLM-Z1-9B-0414,240.0,1.0
A2 K=2 B=0.000420126 Emax=0.5,expected_stage2,MiniCPM4.1-8B,104.0,0.43333333333333335
A2 K=2 B=0.000840251 Emax=0.75,stage1,MiniCPM4.1-8B,240.0,1.0
A2 K=2 B=0.000840251 Emax=0.75,expected_stage2,deepseek-v3-0324,92.0,0.38333333333333336
A2 K=2 B=0.000840251 Emax=0.5,stage1,MiniCPM4.1-8B,240.0,1.0
A2 K=2 B=0.000840251 Emax=0.5,expected_stage2,deepseek-v3-0324,92.0,0.38333333333333336
A2 K=2 B=0.00126038 Emax=0.75,stage1,MiniCPM4.1-8B,240.0,1.0
A2 K=2 B=0.00126038 Emax=0.75,expected_stage2,deepseek-v3-0324,92.0,0.38333333333333336
A2 K=3 B=0.000420126 Emax=1,stage1,MiniCPM4.1-8B,137.0,0.5708333333333333
A2 K=3 B=0.000420126 Emax=1,stage1,GLM-Z1-9B-0414,103.0,0.42916666666666664
A2 K=3 B=0.000420126 Emax=1,expected_stage2,deepseek-v3-0324,39.0,0.1625
A2 K=3 B=0.000420126 Emax=1,expected_stage2,MiniCPM4.1-8B,21.0,0.0875
A2 K=3 B=0.000420126 Emax=0.5,stage1,MiniCPM4.1-8B,137.0,0.5708333333333333
A2 K=3 B=0.000420126 Emax=0.5,stage1,GLM-Z1-9B-0414,103.0,0.42916666666666664
A2 K=3 B=0.000420126 Emax=0.5,expected_stage2,deepseek-v3-0324,39.0,0.1625
A2 K=3 B=0.000420126 Emax=0.5,expected_stage2,MiniCPM4.1-8B,21.0,0.0875
A2 K=3 B=0.00126038 Emax=1,stage1,Qwen2.5-Coder-7B-Instruct,128.0,0.5333333333333333
A2 K=3 B=0.00126038 Emax=1,stage1,glm-4-9b-chat,112.0,0.4666666666666667
A2 K=3 B=0.00126038 Emax=1,expected_stage2,MiniCPM4.1-8B,188.0,0.7833333333333333
A2 K=3 B=0.00126038 Emax=0.75,stage1,Qwen2.5-Coder-7B-Instruct,128.0,0.5333333333333333
A2 K=3 B=0.00126038 Emax=0.75,stage1,glm-4-9b-chat,112.0,0.4666666666666667
A2 K=3 B=0.00126038 Emax=0.75,expected_stage2,MiniCPM4.1-8B,178.0,0.7416666666666667
A2 K=3 B=0.00126038 Emax=0.5,stage1,GLM-Z1-9B-0414,142.0,0.5916666666666667
A2 K=3 B=0.00126038 Emax=0.5,stage1,glm-4-9b-chat,98.0,0.4083333333333333
A2 K=3 B=0.00126038 Emax=0.5,expected_stage2,MiniCPM4.1-8B,119.0,0.49583333333333335
A2 K=5 B=0.000420126 Emax=1,stage1,GLM-Z1-9B-0414,135.0,0.5625
A2 K=5 B=0.000420126 Emax=1,stage1,MiniCPM4.1-8B,105.0,0.4375
A2 K=5 B=0.000420126 Emax=1,expected_stage2,MiniCPM4.1-8B,56.0,0.23333333333333334
A2 K=5 B=0.000420126 Emax=1,expected_stage2,deepseek-v3-0324,4.0,0.016666666666666666
A2 K=5 B=0.000420126 Emax=0.75,stage1,GLM-Z1-9B-0414,126.0,0.525
A2 K=5 B=0.000420126 Emax=0.75,stage1,MiniCPM4.1-8B,81.0,0.3375
A2 K=5 B=0.000420126 Emax=0.75,stage1,qwen3-235b-a22b-2507,33.0,0.1375
A2 K=5 B=0.000420126 Emax=0.75,expected_stage2,MiniCPM4.1-8B,16.0,0.06666666666666667
A2 K=5 B=0.000420126 Emax=0.75,expected_stage2,deepseek-v3-0324,16.0,0.06666666666666667
A2 K=5 B=0.000420126 Emax=0.75,expected_stage2,deepseek-r1-0528,4.0,0.016666666666666666
A2 K=5 B=0.000420126 Emax=0.5,stage1,GLM-Z1-9B-0414,116.0,0.48333333333333334
A2 K=5 B=0.000420126 Emax=0.5,stage1,MiniCPM4.1-8B,94.0,0.39166666666666666
A2 K=5 B=0.000420126 Emax=0.5,stage1,qwen3-235b-a22b-2507,30.0,0.125
A2 K=5 B=0.000420126 Emax=0.5,expected_stage2,MiniCPM4.1-8B,18.0,0.075
A2 K=5 B=0.000420126 Emax=0.5,expected_stage2,deepseek-v3-0324,12.0,0.05
A2 K=5 B=0.000420126 Emax=0.5,expected_stage2,deepseek-r1-0528,4.0,0.016666666666666666
A2 K=5 B=0.000840251 Emax=1,stage1,GLM-Z1-9B-0414,134.0,0.5583333333333333
A2 K=5 B=0.000840251 Emax=1,stage1,MiniCPM4.1-8B,106.0,0.44166666666666665
A2 K=5 B=0.000840251 Emax=1,expected_stage2,MiniCPM4.1-8B,56.0,0.23333333333333334
A2 K=5 B=0.000840251 Emax=1,expected_stage2,deepseek-v3-0324,4.0,0.016666666666666666
A2 K=5 B=0.000840251 Emax=0.75,stage1,GLM-Z1-9B-0414,134.0,0.5583333333333333
